run, run, UInt_t, single
Muon_miniIsoId, muon, UChar_t, vector
Muon_multiIsoId, muon, UChar_t, vector
Muon_mvaId, muon, UChar_t, vector
Muon_mvaLowPtId, muon, UChar_t, vector
Muon_pfIsoId, muon, UChar_t, vector
Muon_puppiIsoId, muon, UChar_t, vector
Muon_genPartIdx, muon, Int_t, vector
nJet, jet, UInt_t, single
Jet_pt, jet, Float_t, vector
Jet_phi, jet, Float_t, vector
Jet_eta, jet, Float_t, vector
Jet_mass, jet, Float_t, vector
Jet_jetId, jet, Int_t, vector
Jet_puId, jet, Int_t, vector
Jet_area, jet, Float_t, vector
Jet_rawFactor, jet, Float_t, vector
Jet_btagCSVV2, jet, Float_t, vector
Jet_btagDeepB, jet, Float_t, vector
Jet_btagDeepCvB, jet, Float_t, vector
Jet_btagDeepCvL, jet, Float_t, vector
Jet_btagDeepFlavB, jet, Float_t, vector
Jet_btagDeepFlavCvB, jet, Float_t, vector
Jet_btagDeepFlavCvL, jet, Float_t, vector
Jet_btagDeepFlavQG, jet, Float_t, vector
Jet_hadronFlavour, jet, Int_t, vector
Jet_genJetIdx, jet, Int_t, vector
fixedGridRhoFastjetAll, Jet, Float_t, single
nGenJet, genjet, UInt_t, single
GenJet_pt, genjet, Float_t, vector
GenJet_phi, genjet, Float_t, vector
GenJet_eta, genjet, Float_t, vector
GenJet_mass, genjet, Float_t, vector
Electron_pt, electron, Float_t, vector
Electron_phi, electron, Float_t, vector
Electron_eta, electron, Float_t, vector
Electron_mass, electron, Float_t, vector
Electron_deltaEtaSC, electron, Float_t, vector
Electron_tightCharge, electron, Int_t, vector
Electron_charge, electron, Int_t, vector
Electron_cutBased, electron, Int_t, vector
Electron_convVeto, electron, Bool_t, vector
Electron_mvaFall17V2noIso_WP90, electron, Bool_t, vector
Electron_pfRelIso03_all, electron, Float_t, vector
Electron_mvaFall17V2Iso, electron, Float_t, vector
nElectron, electron, UInt_t, single
MET_pt, met, Float_t, single
MET_phi, met, Float_t, single
PuppiMET_pt, met, Float_t, single
PuppiMET_phi, met, Float_t, single
Flag_HBHENoiseFilter, metfilter, Bool_t, single
Flag_HBHENoiseIsoFilter, metfilter, Bool_t, single
Flag_CSCTightHaloFilter, metfilter, Bool_t, single
Flag_CSCTightHaloTrkMuUnvetoFilter, metfilter, Bool_t, single
Flag_globalTightHalo2016Filter, metfilter, Bool_t, single
Flag_globalSuperTightHalo2016Filter, metfilter, Bool_t, single
